is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA3+JA3S+JA4+JA4S+SNI+ORG;0.25;3;3;344;61;0;405;0.8493827160493828;0.1506172839506173;2.128395061728395;2.0;3;3;1;230;60;54;0.57;0.15;0.13
True;JA3+JA3S+JA4+JA4S+SNI+ORG;0.25;3;3;352;53;0;405;0.8691358024691358;0.1308641975308642;1.5827160493827162;1.0;1;3;1;286;45;21;0.71;0.11;0.05
False;JA3+JA3S+JA4+JA4S+SNI;0.25;3;3;341;64;0;405;0.8419753086419753;0.1580246913580247;2.128395061728395;2.0;3;3;1;245;42;54;0.6;0.1;0.13
True;JA3+JA3S+JA4+JA4S+SNI;0.25;3;3;351;54;0;405;0.8666666666666667;0.13333333333333333;1.5827160493827162;1.0;1;3;1;295;32;24;0.73;0.08;0.06
False;JA3+JA3S+JA4+JA4S;0.25;3;3;341;64;0;405;0.8419753086419753;0.1580246913580247;2.128395061728395;2.0;3;3;1;243;49;49;0.6;0.12;0.12
True;JA3+JA3S+JA4+JA4S;0.25;3;3;351;54;0;405;0.8666666666666667;0.13333333333333333;1.5827160493827162;1.0;1;3;1;297;33;21;0.73;0.08;0.05
False;JA4+JA4S+SNI;0.25;3;3;343;62;0;405;0.8469135802469135;0.15308641975308643;2.128395061728395;2.0;3;3;1;235;56;52;0.58;0.14;0.13
True;JA4+JA4S+SNI;0.25;3;3;351;54;0;405;0.8666666666666667;0.13333333333333333;1.5827160493827162;1.0;1;3;1;293;34;24;0.72;0.08;0.06
False;JA3+JA3S+SNI;0.25;3;3;345;60;0;405;0.8518518518518519;0.14814814814814814;2.128395061728395;2.0;3;3;1;245;46;54;0.6;0.11;0.13
True;JA3+JA3S+SNI;0.25;3;3;353;52;0;405;0.8716049382716049;0.12839506172839507;1.5827160493827162;1.0;1;3;1;293;36;24;0.72;0.09;0.06
False;JA4+JA4S;0.25;3;3;341;64;0;405;0.8419753086419753;0.1580246913580247;2.128395061728395;2.0;3;3;1;238;54;49;0.59;0.13;0.12
True;JA4+JA4S;0.25;3;3;352;53;0;405;0.8691358024691358;0.1308641975308642;1.5827160493827162;1.0;1;3;1;295;30;27;0.73;0.07;0.07
False;JA3+JA3S;0.25;3;3;343;62;0;405;0.8469135802469135;0.15308641975308643;2.128395061728395;2.0;3;3;1;248;40;55;0.61;0.1;0.14
True;JA3+JA3S;0.25;3;3;353;52;0;405;0.8716049382716049;0.12839506172839507;1.5827160493827162;1.0;1;3;1;299;35;19;0.74;0.09;0.05
False;JA3+JA4;0.25;3;3;339;66;0;405;0.837037037037037;0.16296296296296298;2.128395061728395;2.0;3;3;1;231;57;51;0.57;0.14;0.13
True;JA3+JA4;0.25;3;3;353;52;0;405;0.8716049382716049;0.12839506172839507;1.5827160493827162;1.0;1;3;1;297;34;22;0.73;0.08;0.05
False;JA4;0.25;3;3;339;66;0;405;0.837037037037037;0.16296296296296298;2.128395061728395;2.0;3;3;1;229;61;49;0.57;0.15;0.12
True;JA4;0.25;3;3;351;54;0;405;0.8666666666666667;0.13333333333333333;1.5827160493827162;1.0;1;3;1;294;32;25;0.73;0.08;0.06
False;JA3;0.25;3;3;339;66;0;405;0.837037037037037;0.16296296296296298;2.128395061728395;2.0;3;3;1;229;63;47;0.57;0.16;0.12
True;JA3;0.25;3;3;351;54;0;405;0.8666666666666667;0.13333333333333333;1.5827160493827162;1.0;1;3;1;296;33;22;0.73;0.08;0.05
