is_comb;items;min_support;candidate_size;ja_version;correct;incorrect;empty_candidates;num_of_patterns;total;accuracy_overall;error_rate;avg_len_of_candidates;median_len_of_candidates;modus_len_of_candidates;max_len_of_candidates;min_len_of_candidates;guess_1;guess_2;guess_3;guess_perc_1;guess_perc_2;guess_perc_3
False;JA4+JA4S;0.05;3;4;366;39;0;174;405;0.9037037037037037;0.0962962962962963;2.128395061728395;2.0;3;3;1;231;84;51;0.57;0.21;0.13
True;JA4+JA4S;0.05;3;4;363;42;0;174;405;0.8962962962962963;0.1037037037037037;1.5851851851851853;1.0;1;3;1;279;59;25;0.69;0.15;0.06
False;JA4+JA4S;0.01;3;4;362;43;0;309;405;0.8938271604938272;0.10617283950617284;2.128395061728395;2.0;3;3;1;254;60;48;0.63;0.15;0.12
True;JA4+JA4S;0.01;3;4;352;53;0;309;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;292;39;21;0.72;0.1;0.05
False;JA3+JA4;0.99;3;4;3;402;0;2;405;0.007407407407407408;0.9925925925925926;1.8246913580246913;2.0;2;2;1;3;0;0;0.01;0.0;0.0
True;JA3+JA4;0.99;3;4;3;402;0;2;405;0.007407407407407408;0.9925925925925926;1.8962962962962964;2.0;2;2;1;3;0;0;0.01;0.0;0.0
False;JA3+JA4;0.9;3;4;81;324;0;3;405;0.2;0.8;2.2641975308641977;3.0;3;3;1;81;0;0;0.2;0.0;0.0
True;JA3+JA4;0.9;3;4;81;324;0;3;405;0.2;0.8;2.4074074074074074;3.0;3;3;1;81;0;0;0.2;0.0;0.0
False;JA3+JA4;0.8;3;4;81;324;0;3;405;0.2;0.8;2.2641975308641977;3.0;3;3;1;81;0;0;0.2;0.0;0.0
True;JA3+JA4;0.8;3;4;81;324;0;3;405;0.2;0.8;2.4074074074074074;3.0;3;3;1;81;0;0;0.2;0.0;0.0
False;JA3+JA4;0.7;3;4;109;296;0;4;405;0.2691358024691358;0.7308641975308642;1.9925925925925927;1.0;1;3;1;109;0;0;0.27;0.0;0.0
True;JA3+JA4;0.7;3;4;109;296;0;4;405;0.2691358024691358;0.7308641975308642;2.224691358024691;3.0;3;3;1;108;1;0;0.27;0.0;0.0
False;JA3+JA4;0.6;3;4;127;278;0;6;405;0.3135802469135803;0.6864197530864198;2.1555555555555554;3.0;3;3;1;111;14;2;0.27;0.03;0.0
True;JA3+JA4;0.6;3;4;127;278;0;6;405;0.3135802469135803;0.6864197530864198;2.422222222222222;3.0;3;3;1;111;14;2;0.27;0.03;0.0
False;JA3+JA4;0.5;3;4;195;210;0;9;405;0.48148148148148145;0.5185185185185185;1.9358024691358025;2.0;1;3;1;173;22;0;0.43;0.05;0.0
True;JA3+JA4;0.5;3;4;195;210;0;9;405;0.48148148148148145;0.5185185185185185;2.1901234567901233;3.0;3;3;1;171;22;2;0.42;0.05;0.0
False;JA3+JA4;0.4;3;4;293;112;0;13;405;0.7234567901234568;0.2765432098765432;1.782716049382716;2.0;1;3;1;241;27;25;0.6;0.07;0.06
True;JA3+JA4;0.4;3;4;288;117;0;13;405;0.7111111111111111;0.28888888888888886;1.7358024691358025;1.0;1;3;1;262;11;15;0.65;0.03;0.04
False;JA3+JA4;0.3;3;4;342;63;0;18;405;0.8444444444444444;0.15555555555555556;2.128395061728395;2.0;3;3;1;229;61;52;0.57;0.15;0.13
True;JA3+JA4;0.3;3;4;352;53;0;18;405;0.8691358024691358;0.1308641975308642;1.5851851851851853;1.0;1;3;1;293;39;20;0.72;0.1;0.05
False;JA3+JA4;0.2;3;4;331;74;0;24;405;0.817283950617284;0.18271604938271604;2.128395061728395;2.0;3;3;1;213;68;50;0.53;0.17;0.12
True;JA3+JA4;0.2;3;4;341;64;0;24;405;0.8419753086419753;0.1580246913580247;1.5851851851851853;1.0;1;3;1;293;31;17;0.72;0.08;0.04
False;JA3+JA4;0.1;3;4;354;51;0;39;405;0.8740740740740741;0.1259259259259259;2.128395061728395;2.0;3;3;1;249;79;26;0.61;0.2;0.06
True;JA3+JA4;0.1;3;4;354;51;0;39;405;0.8740740740740741;0.1259259259259259;1.5851851851851853;1.0;1;3;1;300;45;9;0.74;0.11;0.02
